Bee_nb;Species;Orchard;Boxe;Emergence;Status;experiment;Fitness
1;O.cornuta;1;1;2;1;field; Emerged
2;O.cornuta;1;1;2;1;field; Emerged
3;O.cornuta;1;1;2;1;field; Emerged
4;O.cornuta;1;1;2;1;field; Emerged
5;O.cornuta;1;1;2;1;field; Emerged
6;O.cornuta;1;1;2;1;field; Emerged
7;O.cornuta;1;1;2;1;field; Emerged
8;O.cornuta;1;1;2;1;field; Emerged
9;O.cornuta;1;1;2;1;field; Emerged
10;O.cornuta;1;1;2;1;field; Emerged
11;O.cornuta;1;1;2;1;field; Emerged
12;O.cornuta;1;1;2;1;field; Emerged
13;O.cornuta;1;1;2;1;field; Emerged
14;O.cornuta;1;1;2;1;field; Emerged
15;O.cornuta;1;1;2;1;field; Emerged
16;O.cornuta;1;1;2;1;field; Emerged
17;O.cornuta;1;1;2;1;field; Emerged
18;O.cornuta;1;1;2;1;field; Emerged
19;O.cornuta;1;1;2;1;field; Emerged
20;O.cornuta;1;1;2;1;field; Emerged
21;O.cornuta;1;1;2;1;field; Emerged
22;O.cornuta;1;1;2;1;field; Emerged
23;O.cornuta;1;1;2;1;field; Emerged
24;O.cornuta;1;1;2;1;field; Emerged
25;O.cornuta;1;1;2;1;field; Emerged
26;O.cornuta;1;1;2;1;field; Emerged
27;O.cornuta;1;1;2;1;field; Emerged
28;O.cornuta;1;1;2;1;field; Emerged
29;O.cornuta;1;1;2;1;field; Emerged
30;O.cornuta;1;1;2;1;field; Emerged
31;O.cornuta;1;1;2;1;field; Emerged
32;O.cornuta;1;1;2;1;field; Emerged
33;O.cornuta;1;1;2;1;field; Emerged
34;O.cornuta;1;1;2;1;field; Emerged
35;O.cornuta;1;1;2;1;field; Emerged
36;O.cornuta;1;1;2;1;field; Emerged
37;O.cornuta;1;1;2;1;field; Emerged
38;O.cornuta;1;1;2;1;field; Emerged
39;O.cornuta;1;1;2;1;field; Emerged
40;O.cornuta;1;1;2;1;field; Emerged
41;O.cornuta;1;1;2;1;field; Emerged
42;O.cornuta;1;1;2;1;field; Emerged
43;O.cornuta;1;1;2;1;field; Emerged
44;O.cornuta;1;1;2;1;field; Emerged
45;O.cornuta;1;1;2;1;field; Emerged
46;O.cornuta;1;1;2;1;field; Emerged
47;O.cornuta;1;1;2;1;field; Emerged
48;O.cornuta;1;1;2;1;field; Emerged
49;O.cornuta;1;1;2;1;field; Emerged
50;O.cornuta;1;1;2;1;field; Emerged
51;O.cornuta;1;1;2;1;field; Emerged
52;O.cornuta;1;1;2;1;field; Emerged
53;O.cornuta;1;1;2;1;field; Emerged
54;O.cornuta;1;1;2;1;field; Emerged
55;O.cornuta;1;1;2;1;field; Emerged
56;O.cornuta;1;1;2;1;field; Emerged
57;O.cornuta;1;1;2;1;field; Emerged
58;O.cornuta;1;1;2;1;field; Emerged
59;O.cornuta;1;1;2;1;field; Emerged
60;O.cornuta;1;1;2;1;field; Emerged
61;O.cornuta;1;1;2;1;field; Emerged
62;O.cornuta;1;1;2;1;field; Emerged
63;O.cornuta;1;1;2;1;field; Emerged
64;O.cornuta;1;1;2;1;field; Emerged
65;O.cornuta;1;1;2;1;field; Emerged
66;O.cornuta;1;1;2;1;field; Emerged
67;O.cornuta;1;1;2;1;field; Emerged
68;O.cornuta;1;1;2;1;field; Emerged
69;O.cornuta;1;1;2;1;field; Emerged
70;O.cornuta;1;1;2;1;field; Emerged
71;O.cornuta;1;1;2;1;field; Emerged
72;O.cornuta;1;1;2;1;field; Emerged
73;O.cornuta;1;1;2;1;field; Emerged
74;O.cornuta;1;1;2;1;field; Emerged
75;O.cornuta;1;1;2;1;field; Emerged
