Bee_nb;Species;Orchard;Boxe;Emergence;Status;experiment;Fitness
1;O.cornuta;1;1;2;1;field;emerged
2;O.cornuta;1;1;2;1;field;emerged
3;O.cornuta;1;1;2;1;field;emerged
4;O.cornuta;1;1;2;1;field;emerged
5;O.cornuta;1;1;2;1;field;emerged
6;O.cornuta;1;1;2;1;field;emerged
7;O.cornuta;1;1;2;1;field;emerged
8;O.cornuta;1;1;2;1;field;emerged
9;O.cornuta;1;1;2;1;field;emerged
10;O.cornuta;1;1;2;1;field;emerged
11;O.cornuta;1;1;2;1;field;emerged
12;O.cornuta;1;1;2;1;field;emerged
13;O.cornuta;1;1;2;1;field;emerged
14;O.cornuta;1;1;2;1;field;emerged
15;O.cornuta;1;1;2;1;field;emerged
16;O.cornuta;1;1;2;1;field;emerged
17;O.cornuta;1;1;2;1;field;emerged
18;O.cornuta;1;1;2;1;field;emerged
19;O.cornuta;1;1;2;1;field;emerged
20;O.cornuta;1;1;2;1;field;emerged
21;O.cornuta;1;1;2;1;field;emerged
22;O.cornuta;1;1;2;1;field;emerged
23;O.cornuta;1;1;2;1;field;emerged
24;O.cornuta;1;1;2;1;field;emerged
25;O.cornuta;1;1;2;1;field;emerged
26;O.cornuta;1;1;2;1;field;emerged
27;O.cornuta;1;1;2;1;field;emerged
28;O.cornuta;1;1;2;1;field;emerged
29;O.cornuta;1;1;2;1;field;emerged
30;O.cornuta;1;1;2;1;field;emerged
31;O.cornuta;1;1;2;1;field;emerged
32;O.cornuta;1;1;2;1;field;emerged
33;O.cornuta;1;1;2;1;field;emerged
34;O.cornuta;1;1;2;1;field;emerged
35;O.cornuta;1;1;2;1;field;emerged
36;O.cornuta;1;1;2;1;field;emerged
37;O.cornuta;1;1;2;1;field;emerged
38;O.cornuta;1;1;2;1;field;emerged
39;O.cornuta;1;1;2;1;field;emerged
40;O.cornuta;1;1;2;1;field;emerged
41;O.cornuta;1;1;2;1;field;emerged
42;O.cornuta;1;1;2;1;field;emerged
43;O.cornuta;1;1;2;1;field;emerged
44;O.cornuta;1;1;2;1;field;emerged
45;O.cornuta;1;1;2;1;field;emerged
46;O.cornuta;1;1;2;1;field;emerged
47;O.cornuta;1;1;2;1;field;emerged
48;O.cornuta;1;1;2;1;field;emerged
49;O.cornuta;1;1;2;1;field;emerged
50;O.cornuta;1;1;2;1;field;emerged
51;O.cornuta;1;1;2;1;field;emerged
52;O.cornuta;1;1;2;1;field;emerged
53;O.cornuta;1;1;2;1;field;emerged
54;O.cornuta;1;1;2;1;field;emerged
55;O.cornuta;1;1;2;1;field;emerged
56;O.cornuta;1;1;2;1;field;emerged
57;O.cornuta;1;1;2;1;field;emerged
58;O.cornuta;1;1;2;1;field;emerged
59;O.cornuta;1;1;2;1;field;emerged
60;O.cornuta;1;1;2;1;field;emerged
61;O.cornuta;1;1;2;1;field;emerged
62;O.cornuta;1;1;2;1;field;emerged
63;O.cornuta;1;1;2;1;field;emerged
64;O.cornuta;1;1;2;1;field;emerged
65;O.cornuta;1;1;2;1;field;emerged
66;O.cornuta;1;1;2;1;field;emerged
67;O.cornuta;1;1;2;1;field;emerged
68;O.cornuta;1;1;2;1;field;emerged
69;O.cornuta;1;1;2;1;field;emerged
70;O.cornuta;1;1;2;1;field;emerged
71;O.cornuta;1;1;2;1;field;emerged
72;O.cornuta;1;1;2;1;field;emerged
73;O.cornuta;1;1;2;1;field;emerged
74;O.cornuta;1;1;2;1;field;emerged
75;O.cornuta;1;1;2;1;field;emerged
76;O.cornuta;1;1;2;1;field;emerged
77;O.cornuta;1;1;2;1;field;emerged
78;O.cornuta;1;1;2;1;field;emerged
