;Code;Parcel;Introduced_bee;Tree;Collection_date;Bee;Nb_sample;Ranuculacea;Rosacea;Quercus;Crucifera;Ericaceae;Fagus;Ilex;Salix;C..fenestrada...Asteràcia.fenestrada....Taraxacum.or.similar..;Pinus;Juglans;Aesculus;Corylus;Olea;unknown;Lamiacase..thymus..;Helleborus;Lamium;Betulaceae;Monocot;Polygonum
1;P1bA1;1;bicornis;apple;25/04/2019;bicornis;1;99.31034483;0.689655172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;P1bA10;1;bicornis;apple;02/05/2019;bicornis;10;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;P1bA11;1;bicornis;apple;02/05/2019;bicornis;11;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;P1bA12;1;bicornis;apple;02/05/2019;bicornis;12;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;P1bA13;1;bicornis;apple;02/05/2019;bicornis;13;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;P1bA14;1;bicornis;apple;02/05/2019;cornuta;14;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;P1bA15;1;bicornis;apple;02/05/2019;cornuta;15;10.90909091;85.45454545;0;0;0;0;0;3.636363636;0;0;0;0;0;0;0;0;0;0;0;0;0
8;P1bA16;1;bicornis;apple;02/05/2019;cornuta;16;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;P1bA17;1;bicornis;apple;02/05/2019;cornuta;17;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;P1bA18;1;bicornis;apple;02/05/2019;cornuta;18;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;P1bA19;1;bicornis;apple;07/05/2019;bicornis;19;99.18032787;0.819672131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;P1bA2;1;bicornis;apple;25/04/2019;bicornis;2;97.72727273;1.515151515;0;0;0;0;0;0;0.757575758;0;0;0;0;0;0;0;0;0;0;0;0
13;P1bA20;1;bicornis;apple;07/05/2019;bicornis;20;1.739130435;1.739130435;96.52173913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;P1bA21;1;bicornis;apple;07/05/2019;bicornis;21;99.34210526;0.657894737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;P1bA22;1;bicornis;apple;07/05/2019;cornuta;22;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;P1bA23;1;bicornis;apple;07/05/2019;cornuta;23;0;85.43046358;0;13.90728477;0.662251656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;P1bA24;1;bicornis;apple;07/05/2019;cornuta;24;0;41.7721519;0;48.10126582;6.962025316;2.53164557;0.632911392;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;P1bA3;1;bicornis;apple;25/04/2019;bicornis;3;0;0;0.892857143;0;0;99.10714286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;P1bA4;1;bicornis;apple;25/04/2019;cornuta;4;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
