;Code;Parcel;Introduced_bee;Tree;Collection_date;Species;Nb_sample;Ranuculacea; Rosacea;Quercus;Crucifera;Salix;Other;Visited plant
1;P1bA1;1;O. bicornis;apple;43580;O. bicornis;1;99.31034483;0.689655172;0;0;0;0;Ranuculacea
2;P1bA10;1;O. bicornis;apple;43587;O. bicornis;10;100;0;0;0;0;0;Ranuculacea
3;P1bA11;1;O. bicornis;apple;43587;O. bicornis;11;100;0;0;0;0;0;Ranuculacea
4;P1bA12;1;O. bicornis;apple;43587;O. bicornis;12;0;100;0;0;0;0; Rosacea
5;P1bA13;1;O. bicornis;apple;43587;O. bicornis;13;0;0;100;0;0;0;Quercus
6;P1bA14;1;O. bicornis;apple;43587;O. cornuta;14;0;100;0;0;0;0; Rosacea
7;P1bA15;1;O. bicornis;apple;43587;O. cornuta;15;10.90909091;85.45454545;0;0;3.636363636;0; Rosacea
8;P1bA16;1;O. bicornis;apple;43587;O. cornuta;16;0;100;0;0;0;0; Rosacea
9;P1bA17;1;O. bicornis;apple;43587;O. cornuta;17;0;100;0;0;0;0; Rosacea
10;P1bA18;1;O. bicornis;apple;43587;O. cornuta;18;0;100;0;0;0;0; Rosacea
11;P1bA19;1;O. bicornis;apple;43592;O. bicornis;19;99.18032787;0.819672131;0;0;0;0;Ranuculacea
12;P1bA2;1;O. bicornis;apple;43580;O. bicornis;2;97.72727273;1.515151515;0;0;0;0.757575758;Ranuculacea
13;P1bA20;1;O. bicornis;apple;43592;O. bicornis;20;1.739130435;1.739130435;96.52173913;0;0;0;Quercus
14;P1bA21;1;O. bicornis;apple;43592;O. bicornis;21;99.34210526;0.657894737;0;0;0;0;Ranuculacea
15;P1bA22;1;O. bicornis;apple;43592;O. cornuta;22;0;100;0;0;0;0; Rosacea
16;P1bA23;1;O. bicornis;apple;43592;O. cornuta;23;0;85.43046358;0;13.90728477;0;0.662251656; Rosacea
18;P1bA3;1;O. bicornis;apple;43580;O. bicornis;3;0;0;0.892857143;0;0;99.10714286;Other
19;P1bA4;1;O. bicornis;apple;43580;O. cornuta;4;0;100;0;0;0;0; Rosacea
20;P1bA5;1;O. bicornis;apple;43580;O. cornuta;5;0;100;0;0;0;0; Rosacea
21;P1bA6;1;O. bicornis;apple;43580;O. cornuta;6;0;100;0;0;0;0; Rosacea
22;P1bA7;1;O. bicornis;apple;43585;O. bicornis;7;0;0;100;0;0;0;Quercus
23;P1bA8;1;O. bicornis;apple;43585;O. cornuta;8;0;100;0;0;0;0; Rosacea
25;P1cA1;1;O. cornuta;apple;43574;O. cornuta;1;0;2.542372881;0;0;97.45762712;0;Salix
26;P1cA10;1;O. cornuta;apple;43579;O. cornuta;10;0;85.61151079;0;0;2.158273381;12.23021583; Rosacea
27;P1cA11;1;O. cornuta;apple;43579;O. cornuta;11;0;100;0;0;0;0; Rosacea
28;P1cA2;1;O. cornuta;apple;43574;O. cornuta;2;0;99.39759036;0;0;0.602409639;0; Rosacea
29;P1cA3;1;O. cornuta;apple;43574;O. cornuta;3;0;100;0;0;0;0; Rosacea
30;P1cA4;1;O. cornuta;apple;43576;O. cornuta;4;0;100;0;0;0;0; Rosacea
31;P1cA6;1;O. cornuta;apple;43576;O. cornuta;6;0;100;0;0;0;0; Rosacea
32;P1cA7;1;O. cornuta;apple;43578;O. cornuta;7;0;12.61682243;0;0;87.38317757;0;Salix
33;P1cA7;1;O. cornuta;apple;43578;O. cornuta;7;0;97.77777778;0;0;2.222222222;0; Rosacea
34;P1cA8;1;O. cornuta;apple;43578;O. cornuta;8;0;100;0;0;0;0; Rosacea
35;P1cA8;1;O. cornuta;apple;43578;O. cornuta;8;0;81.22270742;0;0;18.77729258;0; Rosacea
36;P1cA9;1;O. cornuta;apple;43578;O. cornuta;9;0;100;0;0;0;0; Rosacea
37;P1cA9;1;O. cornuta;apple;43578;O. cornuta;9;0;85.71428571;0;0;12.63736264;1.648351648; Rosacea
38;P2cC1;2;O. cornuta;cherry;43564;O. cornuta;1;0;99.06542056;0;0;0;0.934579439; Rosacea
39;P2cC10;2;O. cornuta;cherry;43576;O. cornuta;10;0;100;0;0;0;0; Rosacea
40;P2cC12;2;O. cornuta;cherry;43580;O. cornuta;12;0;100;0;0;0;0; Rosacea
41;P2cC13;2;O. cornuta;cherry;43580;O. cornuta;13;0;94.87179487;0;0;0;5.128205128; Rosacea
42;P2cC14;2;O. cornuta;cherry;43580;O. cornuta;14;0;100;0;0;0;0; Rosacea
43;P2cC2;2;O. cornuta;cherry;43570;O. cornuta;2;0;100;0;0;0;0; Rosacea
46;P2cC6;2;O. cornuta;cherry;43574;O. cornuta;6;0;99.23076923;0;0.769230769;0;0; Rosacea
47;P2cC7;2;O. cornuta;cherry;43574;O. cornuta;7;0;100;0;0;0;0; Rosacea
48;P2cC8;2;O. cornuta;cherry;43574;O. cornuta;8;0;100;0;0;0;0; Rosacea
49;P2cC9;2;O. cornuta;cherry;43576;O. cornuta;9;0;96.62921348;0;0;0;3.370786517; Rosacea
50;P4bA1;4;O. bicornis;apple;43578;O. bicornis;1;0;0;100;0;0;0;Quercus
