Parcel ;Introduced_bee;Tree;Nb_buds;Release_date ;Monitoring_date;Day;Weather_grade;Tree_Bloom;Species;Visits_nb;Management
6;cornuta;apple;903;18/04/2019;22/04/2019;4;1;20;A.mellifera;1;organic
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;A.mellifera;4;organic
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;A.mellifera;0;organic
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;20;A.mellifera;3;organic
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;A.mellifera;8;organic
6;bicornis;apple;610;18/04/2019;06/05/2019;18;3;-80;A.mellifera;0;organic
7;cornuta;apple;635;18/04/2019;22/04/2019;4;1;20;A.mellifera;1;organic
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;A.mellifera;6;organic
7;cornuta;apple;635;18/04/2019;06/05/2019;18;3;-80;A.mellifera;0;organic
7;bicornis;apple;885;18/04/2019;22/04/2019;4;1;20;A.mellifera;4;organic
7;bicornis;apple;885;18/04/2019;01/05/2019;13;1;100;A.mellifera;24;organic
7;bicornis;0;885;18/04/2019;06/05/2019;18;3;-80;A.mellifera;0;organic
4;cornuta;apple;1465;15/04/2019;19/04/2019;4;1;20;A.mellifera;1;conventional
4;cornuta;apple;1465;15/04/2019;21/04/2019;6;1;20;A.mellifera;18;conventional
4;cornuta;apple;1465;15/04/2019;25/04/2019;10;1;100;A.mellifera;0;conventional
4;cornuta;apple;1465;15/04/2019;30/04/2019;15;2;-80;A.mellifera;0;conventional
4;bicornis;apple;1530;15/04/2019;21/04/2019;6;1;20;A.mellifera;15;conventional
4;bicornis;apple;1530;15/04/2019;25/04/2019;10;1;100;A.mellifera;0;conventional
4;bicornis;apple;1530;15/04/2019;30/04/2019;15;2;-80;A.mellifera;0;conventional
1;cornuta;apple;1095;15/04/2019;21/04/2019;6;1;20;A.mellifera;5;conventional
1;cornuta;apple;1095;15/04/2019;30/04/2019;15;2;100;A.mellifera;26;conventional
1;cornuta;apple;1095;15/04/2019;02/05/2019;17;1;-80;A.mellifera;6;conventional
1;bicornis;apple;1285;15/04/2019;23/04/2019;8;1;20;A.mellifera;5;conventional
1;bicornis;apple;1285;15/04/2019;30/04/2019;15;2;100;A.mellifera;3;conventional
1;bicornis;apple;1285;15/04/2019;02/05/2019;17;1;-80;A.mellifera;58;conventional
6;cornuta;apple;903;18/04/2019;22/04/2019;4;1;20;O.cornuta;0;organic
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;O.cornuta;3;organic
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;O.cornuta;0;organic
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;20;O.cornuta;4;organic
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;O.cornuta;7;organic
6;bicornis;apple;610;18/04/2019;06/05/2019;18;3;-80;O.cornuta;0;organic
7;cornuta;apple;635;18/04/2019;22/04/2019;4;1;20;O.cornuta;0;organic
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;O.cornuta;8;organic
7;cornuta;apple;635;18/04/2019;06/05/2019;18;3;-80;O.cornuta;1;organic
7;bicornis;apple;885;18/04/2019;22/04/2019;4;1;20;O.cornuta;5;organic
7;bicornis;apple;885;18/04/2019;01/05/2019;13;1;100;O.cornuta;4;organic
7;bicornis;0;885;18/04/2019;06/05/2019;18;3;-80;O.cornuta;0;organic
4;cornuta;apple;1465;15/04/2019;19/04/2019;4;1;20;O.cornuta;0;conventional
4;cornuta;apple;1465;15/04/2019;21/04/2019;6;1;20;O.cornuta;3;conventional
4;cornuta;apple;1465;15/04/2019;25/04/2019;10;1;100;O.cornuta;1;conventional
4;cornuta;apple;1465;15/04/2019;30/04/2019;15;2;-80;O.cornuta;1;conventional
4;bicornis;apple;1530;15/04/2019;21/04/2019;6;1;20;O.cornuta;4;conventional
4;bicornis;apple;1530;15/04/2019;25/04/2019;10;1;100;O.cornuta;3;conventional
4;bicornis;apple;1530;15/04/2019;30/04/2019;15;2;-80;O.cornuta;0;conventional
1;cornuta;apple;1095;15/04/2019;21/04/2019;6;1;20;O.cornuta;5;conventional
1;cornuta;apple;1095;15/04/2019;30/04/2019;15;2;100;O.cornuta;2;conventional
1;cornuta;apple;1095;15/04/2019;02/05/2019;17;1;-80;O.cornuta;2;conventional
1;bicornis;apple;1285;15/04/2019;23/04/2019;8;1;20;O.cornuta;4;conventional
1;bicornis;apple;1285;15/04/2019;30/04/2019;15;2;100;O.cornuta;2;conventional
1;bicornis;apple;1285;15/04/2019;02/05/2019;17;1;-80;O.cornuta;2;conventional
6;cornuta;apple;903;18/04/2019;22/04/2019;4;1;20;O.bicornis;0;organic
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;O.bicornis;0;organic
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;O.bicornis;0;organic
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;20;O.bicornis;0;organic
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;O.bicornis;1;organic
6;bicornis;apple;610;18/04/2019;06/05/2019;18;3;-80;O.bicornis;0;organic
7;cornuta;apple;635;18/04/2019;22/04/2019;4;1;20;O.bicornis;0;organic
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;O.bicornis;1;organic
7;cornuta;apple;635;18/04/2019;06/05/2019;18;3;-80;O.bicornis;0;organic
7;bicornis;apple;885;18/04/2019;22/04/2019;4;1;20;O.bicornis;0;organic
7;bicornis;apple;885;18/04/2019;01/05/2019;13;1;100;O.bicornis;1;organic
7;bicornis;0;885;18/04/2019;06/05/2019;18;3;-80;O.bicornis;0;organic
4;cornuta;apple;1465;15/04/2019;19/04/2019;4;1;20;O.bicornis;0;conventional
4;cornuta;apple;1465;15/04/2019;21/04/2019;6;1;20;O.bicornis;0;conventional
4;cornuta;apple;1465;15/04/2019;25/04/2019;10;1;100;O.bicornis;0;conventional
4;cornuta;apple;1465;15/04/2019;30/04/2019;15;2;-80;O.bicornis;0;conventional
4;bicornis;apple;1530;15/04/2019;21/04/2019;6;1;20;O.bicornis;1;conventional
4;bicornis;apple;1530;15/04/2019;25/04/2019;10;1;100;O.bicornis;1;conventional
4;bicornis;apple;1530;15/04/2019;30/04/2019;15;2;-80;O.bicornis;0;conventional
1;cornuta;apple;1095;15/04/2019;21/04/2019;6;1;20;O.bicornis;1;conventional
1;cornuta;apple;1095;15/04/2019;30/04/2019;15;2;100;O.bicornis;0;conventional
1;cornuta;apple;1095;15/04/2019;02/05/2019;17;1;-80;O.bicornis;0;conventional
1;bicornis;apple;1285;15/04/2019;23/04/2019;8;1;20;O.bicornis;1;conventional
1;bicornis;apple;1285;15/04/2019;30/04/2019;15;2;100;O.bicornis;0;conventional
1;bicornis;apple;1285;15/04/2019;02/05/2019;17;1;-80;O.bicornis;1;conventional
6;cornuta;apple;903;18/04/2019;22/04/2019;4;1;20;B.terrestris;0;organic
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;B.terrestris;5;organic
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;B.terrestris;8;organic
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;20;B.terrestris;2;organic
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;B.terrestris;8;organic
6;bicornis;apple;610;18/04/2019;06/05/2019;18;3;-80;B.terrestris;0;organic
7;cornuta;apple;635;18/04/2019;22/04/2019;4;1;20;B.terrestris;6;organic
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;B.terrestris;12;organic
7;cornuta;apple;635;18/04/2019;06/05/2019;18;3;-80;B.terrestris;2;organic
7;bicornis;apple;885;18/04/2019;22/04/2019;4;1;20;B.terrestris;2;organic
