Parcel ;Introduced_bee;Tree;Nb_buds;Release_date ;Monitoring_date;Day;Weather_grade;Tree_Bloom;Visit;Specie;time_F1;time_F2;time_F3;time_F4;time_F5;time_F6;time_F7;time_F8;time_F9;time_F10;time_F11;time_F12;time_F13;time_F14;time_F15;Average_time/flower;Stderror;nb of flower;
5;bicornis;cherry;1075;01/04/2019;09/04/2019;8;1.5;20;1;O.cornuta;2;2;2;13;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.8;4.7644517;5;
5;bicornis;cherry;1075;01/04/2019;09/04/2019;8;1.5;20;2;O.cornuta;4;4;4;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;4;4;
5;bicornis;cherry;1075;01/04/2019;09/04/2019;8;1.5;20;3;O.cornuta;7;7;7;4;5;5;2;NA;NA;NA;NA;NA;NA;NA;NA;5.285714286;1.889822365;7;
5;bicornis;cherry;1075;01/04/2019;09/04/2019;8;1.5;20;4;A.mellifera;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0;1;
5;bicornis;cherry;1075;01/04/2019;09/04/2019;8;1.5;20;5;O.cornuta;3;3;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1.732050808;3;
5;bicornis;cherry;1075;01/04/2019;09/04/2019;8;1.5;20;6;O.cornuta;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;0;1;
5;bicornis;cherry;1075;01/04/2019;09/04/2019;8;1.5;20;7;A.mellifera;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;1;
5;bicornis;cherry;1075;01/04/2019;09/04/2019;8;1.5;20;8;O.cornuta;3;3;3;3;7;7;7;9;10;13;NA;NA;NA;NA;NA;6.5;3.503966007;10;
5;bicornis;cherry;1075;01/04/2019;09/04/2019;8;1.5;20;9;O.cornuta;3;3;3;4;4;6;7;7;12;NA;NA;NA;NA;NA;NA;5.444444444;2.962731472;9;
5;bicornis;cherry;1075;01/04/2019;09/04/2019;8;1.5;20;10;O.cornutaM;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;1;
5;bicornis;cherry;1075;01/04/2019;09/04/2019;8;1.5;20;11;O.cornutaM;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;1;
5;bicornis;cherry;1075;01/04/2019;09/04/2019;8;1.5;20;12;O.cornutaM;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;1;
5;bicornis;cherry;1075;01/04/2019;11/04/2019;10;2.5;80;1;O.cornuta;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;0;1;
5;bicornis;cherry;1075;01/04/2019;11/04/2019;10;2.5;80;2;O.cornuta;27;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15.5;16.26345597;2;
5;bicornis;cherry;1075;01/04/2019;11/04/2019;10;2.5;80;3;O.cornuta;10;9;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.333333333;3.785938897;3;
5;bicornis;cherry;1075;01/04/2019;11/04/2019;10;2.5;80;4;O.cornuta;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;1;
5;bicornis;cherry;1075;01/04/2019;15/04/2019;14;2;100;1;A.mellifera;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;1;
5;bicornis;cherry;1075;01/04/2019;15/04/2019;14;2;100;2;B.terrestris;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;1;
5;bicornis;cherry;1075;01/04/2019;15/04/2019;14;2;100;3;A.mellifera;10;20;44;5;28;5;11;50;NA;NA;NA;NA;NA;NA;NA;21.625;17.52498217;8;
5;bicornis;cherry;1075;01/04/2019;15/04/2019;14;2;100;4;O.cornuta;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;1;
5;bicornis;cherry;1075;01/04/2019;15/04/2019;14;2;100;5;O.cornuta;2;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4.242640687;2;
5;bicornis;cherry;1075;01/04/2019;15/04/2019;14;2;100;6;O.cornuta;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;2;
5;bicornis;cherry;1075;01/04/2019;17/04/2019;16;1;100;1;A.mellifera;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33;0;1;
5;bicornis;cherry;1075;01/04/2019;17/04/2019;16;1;100;2;A.mellifera;24;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19.5;6.363961031;2;
5;bicornis;cherry;1075;01/04/2019;17/04/2019;16;1;100;3;O.cornuta;8;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;7.071067812;2;
5;bicornis;cherry;1075;01/04/2019;17/04/2019;16;1;100;4;O.cornuta;3;3;6;6;3;4;2;3;NA;NA;NA;NA;NA;NA;NA;3.75;1.488047618;8;
5;bicornis;cherry;1075;01/04/2019;17/04/2019;16;1;100;5;O.cornuta;7;10;4;7;5;4;6;10;4;NA;NA;NA;NA;NA;NA;6.333333333;2.397915762;9;
5;bicornis;cherry;1075;01/04/2019;17/04/2019;16;1;100;6;O.cornuta;9;7;9;10;6;3;5;6;5;3;NA;NA;NA;NA;NA;6.3;2.45175674;10;
5;bicornis;cherry;1075;01/04/2019;17/04/2019;16;1;100;7;O.cornuta;4;4;10;16;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.4;5.54977477;5;
5;bicornis;cherry;1075;01/04/2019;17/04/2019;16;1;100;8;O.cornuta;13;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;1.414213562;2;
5;bicornis;cherry;1075;01/04/2019;17/04/2019;16;1;100;9;O.cornuta;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;#DIV/0!;1;
5;bicornis;cherry;1075;01/04/2019;17/04/2019;16;1;100;10;O.cornuta;6;4;4;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;6.733003292;4;
5;bicornis;cherry;1075;01/04/2019;17/04/2019;16;1;100;11;O.cornuta;8;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;2.828427125;2;
5;bicornis;cherry;1075;01/04/2019;17/04/2019;16;1;100;12;O.cornuta;12;5;7;11;4;7;15;NA;NA;NA;NA;NA;NA;NA;NA;8.714285714;4.029652;7;
5;bicornis;cherry;1076;01/04/2019;21/04/2019;20;1;-80;1;O.cornuta;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;1;
2;cornuta;cherry;1653;01/04/2019;17/04/2019;16;1;20;1;O.cornuta;7;7;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.333333333;2.886751346;3;
2;cornuta;cherry;1653;01/04/2019;17/04/2019;16;1;20;2;A.mellifera;7;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.5;3.535533906;2;
2;cornuta;cherry;1653;01/04/2019;17/04/2019;16;1;20;3;A.mellifera;3;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;7.071067812;2;
2;cornuta;cherry;1653;01/04/2019;17/04/2019;16;1;20;4;A.mellifera;14;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24.5;14.8492424;2;
2;cornuta;cherry;1653;01/04/2019;17/04/2019;16;1;20;5;A.mellifera;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;0;1;
2;cornuta;cherry;1653;01/04/2019;17/04/2019;16;1;20;6;O.cornuta;7;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.5;0.707106781;2;
2;cornuta;cherry;1653;01/04/2019;17/04/2019;16;1;20;7;O.cornuta;4;6;5;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.25;0.957427108;4;
2;cornuta;cherry;1653;01/04/2019;17/04/2019;16;1;20;8;A.mellifera;12;27;6;10;12;25;23;3;3;9;NA;NA;NA;NA;NA;13;8.919392107;10;
2;cornuta;cherry;1653;01/04/2019;17/04/2019;16;1;20;9;A.mellifera;21;5;16;4;14;9;7;NA;NA;NA;NA;NA;NA;NA;NA;10.85714286;6.309478886;7;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;1;O.cornuta;4;4;2;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1.414213562;5;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;2;A.mellifera;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;0;1;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;3;O.cornuta;2;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2.828427125;2;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;4;O.cornuta;4;10;8;7;8;6;7;11;10;5;8;4;NA;NA;NA;7.333333333;2.309401077;12;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;5;O.cornuta;6;6;7;8;4;3;3;2;NA;NA;NA;NA;NA;NA;NA;4.875;2.167124494;8;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;6;O.cornuta;3;5;3;3;4;4;5;NA;NA;NA;NA;NA;NA;NA;NA;3.857142857;0.899735411;7;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;7;O.cornuta;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;1;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;8;O.cornuta;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;1;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;9;O.cornuta;3;5;6;5;5;7;9;4;5;NA;NA;NA;NA;NA;NA;5.444444444;1.740051085;9;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;10;O.cornuta;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;0;1;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;11;A.mellifera;4;20;10;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.5;6.806859286;4;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;12;O.cornuta;5;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.333333333;1.527525232;3;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;13;O.cornuta;6;4;4;5;8;4;4;NA;NA;NA;NA;NA;NA;NA;NA;5;1.527525232;7;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;14;A.mellifera;25;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.5;10.60660172;2;
2;cornuta;cherry;1653;01/04/2019;21/04/2019;20;1;100;15;O.cornuta;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;0;1;
2;cornuta;cherry;1653;01/04/2019;25/04/2019;24;1;-80;1;A.mellifera;5;11;11;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.75;3.201562119;4;
